,game_global_ranking,game_title,console,year_of_release,genre,publisher,northamerican_sales,europe_sales,japan_sales,othercontry_sales,world_sales,game_title_normalized
17,18,grand theft auto: san andreas,ps2,2004,action,take-two interactive,9.43,0.4,0.41,10.57,20.81 ,grandtheftauto sanandreas
18,19,super mario world,snes,1990,platform,nintendo,12.78,3.75,3.54,0.55,20.61 ,supermarioworld
19,20,brain age: train your brain in minutes a day,ds,2005,misc,nintendo,4.75,9.26,4.16,2.05,20.22 ,brainage trainyourbraininminutesaday
20,21,pokemon diamond/pokemon pearl,ds,2006,role-playing,nintendo,6.42,4.52,6.04,1.37,18.36 ,pokemondiamond pokemonpearl
21,22,super mario land,gb,1989,platform,nintendo,10.83,2.71,4.18,0.42,18.14 ,supermarioland
22,23,super mario bros. 3,nes,1988,platform,nintendo,9.54,3.44,3.84,0.46,17.28 ,supermariobros 3
23,24,grand theft auto v,x360,2013,action,take-two interactive,9.63,5.31,0.06,1.38,16.38 ,grandtheftautov
24,25,grand theft auto: vice city,ps2,2002,action,take-two interactive,8.41,5.49,0.47,1.78,16.15 ,grandtheftauto vicecity
25,26,pokemon ruby/pokemon sapphire,gba,2002,role-playing,nintendo,6.06,3.9,5.38,0.5,15.85 ,pokemonruby pokemonsapphire
26,27,pokemon black/pokemon white,ds,2010,role-playing,nintendo,5.57,3.28,5.65,0.82,15.32 ,pokemonblack pokemonwhite
27,28,brain age 2: more training in minutes a day,ds,2005,puzzle,nintendo,3.44,5.36,5.32,1.18,15.3 ,brainage2 moretraininginminutesaday
28,29,gran turismo 3: a-spec,ps2,2001,racing,sony computer entertainment,6.85,5.09,1.87,1.16,14.98 ,granturismo3 a spec
29,30,call of duty: modern warfare 3,x360,2011,shooter,activision,9.03,4.28,0.13,1.32,14.76 ,callofduty modernwarfare3
30,31,pokémon yellow: special pikachu edition,gb,1998,role-playing,nintendo,5.89,5.04,3.12,0.59,14.64 ,pokémonyellow specialpikachuedition
31,32,call of duty: black ops,x360,2010,shooter,activision,9.67,3.73,0.11,1.13,14.64 ,callofduty blackops
32,33,pokemon x/pokemon y,3ds,2013,role-playing,nintendo,5.17,4.05,4.34,0.79,14.35 ,pokemonx pokemony
33,34,call of duty: black ops 3,ps4,2015,shooter,activision,5.77,5.81,0.35,2.31,14.24 ,callofduty blackops3
34,35,call of duty: black ops ii,ps3,2012,shooter,activision,4.99,5.88,0.65,2.52,14.03 ,callofduty blackopsii
35,36,call of duty: black ops ii,x360,2012,shooter,activision,8.25,4.3,0.07,1.12,13.73 ,callofduty blackopsii
36,37,call of duty: modern warfare 2,x360,2009,shooter,activision,8.52,3.63,0.08,1.29,13.51 ,callofduty modernwarfare2
37,38,call of duty: modern warfare 3,ps3,2011,shooter,activision,5.54,5.82,0.49,1.62,13.46 ,callofduty modernwarfare3
38,39,grand theft auto iii,ps2,2001,action,take-two interactive,6.99,4.51,0.3,1.3,13.1 ,grandtheftautoiii
39,40,super smash bros. brawl,wii,2008,fighting,nintendo,6.75,2.61,2.66,1.02,13.04 ,supersmashbros brawl
40,41,call of duty: black ops,ps3,2010,shooter,activision,5.98,4.44,0.48,1.83,12.73 ,callofduty blackops
41,42,animal crossing: wild world,ds,2005,simulation,nintendo,2.55,3.52,5.33,0.88,12.27 ,animalcrossing wildworld
42,43,mario kart 7,3ds,2011,racing,nintendo,4.74,3.91,2.67,0.89,12.21 ,mariokart7
43,44,halo 3,x360,2007,shooter,microsoft game studios,7.97,2.83,0.13,1.21,12.14 ,halo3
44,45,grand theft auto v,ps4,2014,action,take-two interactive,3.8,5.81,0.36,2.02,11.98 ,grandtheftautov
45,46,pokemon heartgold/pokemon soulsilver,ds,2009,action,nintendo,4.4,2.77,3.96,0.77,11.9 ,pokemonheartgold pokemonsoulsilver
46,47,super mario 64,n64,1996,platform,nintendo,6.91,2.85,1.91,0.23,11.89 ,supermario64
47,48,gran turismo 4,ps2,2004,racing,sony computer entertainment,3.01,0.01,1.1,7.53,11.66 ,granturismo4
48,49,super mario galaxy,wii,2007,platform,nintendo,6.16,3.4,1.2,0.76,11.52 ,supermariogalaxy
49,50,pokemon omega ruby/pokemon alpha sapphire,3ds,2014,role-playing,nintendo,4.23,3.37,3.08,0.65,11.33 ,pokemonomegaruby pokemonalphasapphire
50,51,super mario land 2: 6 golden coins,gb,1992,adventure,nintendo,6.16,2.04,2.69,0.29,11.18 ,supermarioland2 6goldencoins
51,52,grand theft auto iv,x360,2008,action,take-two interactive,6.76,3.1,0.14,1.03,11.02 ,grandtheftautoiv
52,53,gran turismo,ps,1997,racing,sony computer entertainment,4.02,3.87,2.54,0.52,10.95 ,granturismo
53,54,super mario 3d land,3ds,2011,platform,nintendo,4.89,2.99,2.13,0.78,10.79 ,supermario3dland
54,55,gran turismo 5,ps3,2010,racing,sony computer entertainment,2.96,4.88,0.81,2.12,10.77 ,granturismo5
55,56,call of duty: modern warfare 2,ps3,2009,shooter,activision,4.99,3.69,0.38,1.63,10.69 ,callofduty modernwarfare2
56,57,grand theft auto iv,ps3,2008,action,take-two interactive,4.76,3.76,0.44,1.62,10.57 ,grandtheftautoiv
57,58,super mario all-stars,snes,1993,platform,nintendo,5.99,2.15,2.12,0.29,10.55 ,supermarioall stars
58,59,pokemon firered/pokemon leafgreen,gba,2004,role-playing,nintendo,4.34,2.65,3.15,0.35,10.49 ,pokemonfirered pokemonleafgreen
59,60,super mario 64,ds,2004,platform,nintendo,5.08,3.11,1.25,0.98,10.42 ,supermario64
60,61,just dance 3,wii,2011,misc,ubisoft,6.05,3.15,0.0,1.07,10.26 ,justdance3
61,62,call of duty: ghosts,x360,2013,shooter,activision,6.72,2.63,0.04,0.82,10.21 ,callofduty ghosts
62,63,halo: reach,x360,2010,shooter,microsoft game studios,7.03,1.98,0.08,0.78,9.88 ,halo reach
63,64,mario kart 64,n64,1996,racing,nintendo,5.55,1.94,2.23,0.15,9.87 ,mariokart64
64,65,new super mario bros. 2,3ds,2012,platform,nintendo,3.66,3.07,2.47,0.63,9.82 ,newsupermariobros 2
65,66,halo 4,x360,2012,shooter,microsoft game studios,6.63,2.36,0.04,0.73,9.76 ,halo4
66,67,final fantasy vii,ps,1997,role-playing,sony computer entertainment,3.01,2.47,3.28,0.96,9.72 ,finalfantasyvii
67,68,call of duty: ghosts,ps3,2013,shooter,activision,4.09,3.73,0.38,1.38,9.59 ,callofduty ghosts
68,69,just dance 2,wii,2010,misc,ubisoft,5.84,2.89,0.01,0.78,9.52 ,justdance2
69,70,gran turismo 2,ps,1999,racing,sony computer entertainment,3.88,3.42,1.69,0.5,9.49 ,granturismo2
70,71,call of duty 4: modern warfare,x360,2007,shooter,activision,5.91,2.38,0.13,0.9,9.32 ,callofduty4 modernwarfare
71,72,donkey kong country,snes,1994,platform,nintendo,4.36,1.71,3.0,0.23,9.3 ,donkeykongcountry
72,73,minecraft,x360,2013,misc,microsoft game studios,5.58,2.83,0.02,0.77,9.2 ,minecraft
73,74,animal crossing: new leaf,3ds,2012,simulation,nintendo,2.01,2.32,4.36,0.41,9.09 ,animalcrossing newleaf
74,75,mario party ds,ds,2007,misc,nintendo,4.46,1.88,1.98,0.7,9.02 ,mariopartyds
75,76,the elder scrolls v: skyrim,x360,2011,role-playing,bethesda softworks,5.03,2.86,0.1,0.85,8.84 ,theelderscrollsv skyrim
76,77,super mario kart,snes,1992,racing,nintendo,3.54,1.24,3.81,0.18,8.76 ,supermariokart
77,78,fifa 16,ps4,2015,sports,electronic arts,1.11,6.06,0.06,1.26,8.49 ,fifa16
78,79,wii party,wii,2010,misc,nintendo,1.79,3.53,2.49,0.68,8.49 ,wiiparty
79,80,halo 2,xb,2004,shooter,microsoft game studios,6.82,1.53,0.05,0.08,8.49 ,halo2
80,81,mario party 8,wii,2007,misc,nintendo,3.81,2.3,1.58,0.73,8.42 ,marioparty8
81,82,pokemon black 2/pokemon white 2,ds,2012,role-playing,nintendo,2.91,1.86,3.14,0.43,8.33 ,pokemonblack2 pokemonwhite2
82,83,fifa soccer 13,ps3,2012,action,electronic arts,1.06,5.05,0.13,2.01,8.24 ,fifasoccer13
83,84,the sims 3,pc,2009,simulation,electronic arts,0.98,6.42,0.0,0.71,8.11 ,thesims3
84,85,goldeneye 007,n64,1997,shooter,nintendo,5.8,2.01,0.13,0.15,8.09 ,goldeneye007
85,86,mario & sonic at the olympic games,wii,2007,sports,sega,2.58,3.9,0.66,0.91,8.06 ,mario sonicattheolympicgames
86,87,final fantasy x,ps2,2001,role-playing,sony computer entertainment,2.91,2.07,2.73,0.33,8.05 ,finalfantasyx
87,88,final fantasy viii,ps,1999,role-playing,squaresoft,2.28,1.72,3.63,0.23,7.86 ,finalfantasyviii
88,89,pokémon platinum version,ds,2008,role-playing,nintendo,2.82,1.78,2.69,0.55,7.84 ,pokémonplatinumversion
89,90,pac-man,2600,1982,puzzle,atari,7.28,0.45,0.0,0.08,7.81 ,pac man
90,91,grand theft auto: liberty city stories,psp,2005,action,take-two interactive,2.9,2.83,0.24,1.75,7.72 ,grandtheftauto libertycitystories
91,92,super mario galaxy 2,wii,2010,platform,nintendo,3.66,2.42,0.98,0.64,7.69 ,supermariogalaxy2
92,93,star wars battlefront (2015),ps4,2015,shooter,electronic arts,2.93,3.29,0.22,1.23,7.67 ,starwarsbattlefront 2015 
93,94,call of duty: advanced warfare,ps4,2014,shooter,activision,2.8,3.3,0.14,1.37,7.6 ,callofduty advancedwarfare
94,95,the legend of zelda: ocarina of time,n64,1998,action,nintendo,4.1,1.89,1.45,0.16,7.6 ,thelegendofzelda ocarinaoftime
95,96,crash bandicoot 2: cortex strikes back,ps,1997,platform,sony computer entertainment,3.78,2.17,1.31,0.31,7.58 ,crashbandicoot2 cortexstrikesback
96,97,super mario bros. 2,nes,1988,platform,nintendo,5.39,1.18,0.7,0.19,7.46 ,supermariobros 2
97,98,super smash bros. for wii u and 3ds,3ds,2014,fighting,nintendo,3.24,1.35,2.42,0.43,7.45 ,supersmashbros forwiiuand3ds
98,99,call of duty: world at war,x360,2008,shooter,activision,4.79,1.9,0.0,0.69,7.37 ,callofduty worldatwar
99,100,battlefield 3,x360,2011,shooter,electronic arts,4.46,2.13,0.06,0.69,7.34 ,battlefield3
100,101,the legend of zelda: twilight princess,wii,2006,action,nintendo,3.83,2.19,0.6,0.7,7.31 ,thelegendofzelda twilightprincess
101,102,call of duty: black ops 3,xone,2015,shooter,activision,4.52,2.09,0.01,0.67,7.3 ,callofduty blackops3
102,103,just dance,wii,2009,misc,ubisoft,3.51,3.03,0.0,0.73,7.27 ,justdance
103,104,battlefield 3,ps3,2011,shooter,electronic arts,2.85,2.93,0.35,1.1,7.23 ,battlefield3
104,105,need for speed underground,ps2,2003,racing,electronic arts,3.27,2.83,0.08,1.02,7.2 ,needforspeedunderground
105,106,tekken 3,ps,1998,fighting,sony computer entertainment,3.27,2.22,1.4,0.29,7.16 ,tekken3
106,107,crash bandicoot 3: warped,ps,1998,platform,sony computer entertainment,3.68,1.75,1.42,0.28,7.13 ,crashbandicoot3 warped
107,108,super smash bros. melee,gc,2001,fighting,nintendo,4.41,1.04,1.39,0.22,7.07 ,supersmashbros melee
108,109,mario kart 8,wiiu,2014,racing,nintendo,3.13,2.07,1.27,0.49,6.96 ,mariokart8
109,110,fallout 4,ps4,2015,role-playing,bethesda softworks,2.47,3.15,0.24,1.1,6.96 ,fallout4
110,111,mario kart: double dash!!,gc,2003,racing,nintendo,4.12,1.77,0.87,0.19,6.95 ,mariokart doubledash  
111,112,just dance 4,wii,2012,misc,ubisoft,4.14,2.21,0.0,0.56,6.91 ,justdance4
112,113,fifa 14,ps3,2013,sports,electronic arts,0.78,4.32,0.07,1.73,6.9 ,fifa14
113,114,need for speed underground 2,ps2,2004,racing,electronic arts,2.71,3.02,0.08,1.09,6.9 ,needforspeedunderground2
114,115,medal of honor: frontline,ps2,2002,shooter,electronic arts,2.93,2.75,0.17,0.99,6.83 ,medalofhonor frontline
115,116,uncharted 3: drake's deception,ps3,2011,action,sony computer entertainment,2.77,2.8,0.19,1.06,6.83 ,uncharted3 drake sdeception
116,117,crash bandicoot,ps,1996,platform,sony computer entertainment,3.23,2.35,0.94,0.3,6.82 ,crashbandicoot
117,118,zumba fitness,wii,2010,sports,505 games,3.5,2.64,0.0,0.67,6.81 ,zumbafitness
118,119,gears of war 2,x360,2008,shooter,microsoft game studios,4.15,1.92,0.06,0.64,6.76 ,gearsofwar2
119,120,uncharted 2: among thieves,ps3,2009,action,sony computer entertainment,3.27,2.25,0.21,1.0,6.73 ,uncharted2 amongthieves
120,121,call of duty 4: modern warfare,ps3,2007,shooter,activision,3.1,2.3,0.28,1.04,6.72 ,callofduty4 modernwarfare
121,122,fifa 12,ps3,2011,sports,electronic arts,0.84,4.32,0.11,1.42,6.69 ,fifa12
122,123,big brain academy,ds,2005,misc,nintendo,1.67,2.78,1.6,0.62,6.67 ,bigbrainacademy
123,124,red dead redemption,ps3,2010,action,take-two interactive,2.79,2.61,0.17,1.03,6.6 ,reddeadredemption
124,125,fifa 15,ps4,2014,sports,electronic arts,0.79,4.29,0.05,1.47,6.59 ,fifa15
125,126,donkey kong country returns,wii,2010,platform,nintendo,3.25,1.84,1.03,0.47,6.59 ,donkeykongcountryreturns
126,127,the elder scrolls v: skyrim,ps3,2011,role-playing,bethesda softworks,2.55,2.71,0.25,1.05,6.56 ,theelderscrollsv skyrim
127,128,the legend of zelda,nes,1986,action,nintendo,3.74,0.93,1.69,0.14,6.51 ,thelegendofzelda
128,129,assassin's creed iii,ps3,2012,action,ubisoft,2.64,2.56,0.16,1.14,6.5 ,assassin screediii
129,130,halo: combat evolved,xb,2001,shooter,microsoft game studios,4.98,1.3,0.08,0.07,6.43 ,halo combatevolved
130,131,pokémon emerald version,gba,2004,role-playing,nintendo,2.57,1.58,2.06,0.21,6.41 ,pokémonemeraldversion
131,132,kingdom hearts,ps2,2002,role-playing,sony computer entertainment,3.64,1.2,1.49,0.07,6.4 ,kingdomhearts
132,133,pokémon crystal version,gb,2000,role-playing,nintendo,2.55,1.56,1.29,0.99,6.39 ,pokémoncrystalversion
133,134,halo 3: odst,x360,2009,shooter,microsoft game studios,4.34,1.35,0.06,0.61,6.36 ,halo3 odst
134,135,red dead redemption,x360,2010,action,take-two interactive,3.7,1.97,0.09,0.57,6.34 ,reddeadredemption
135,136,super mario sunshine,gc,2002,platform,nintendo,4.01,1.26,0.87,0.17,6.31 ,supermariosunshine
136,137,street fighter ii: the world warrior,snes,1992,fighting,capcom,2.47,0.83,2.87,0.12,6.3 ,streetfighterii theworldwarrior
137,138,world of warcraft,pc,2004,role-playing,activision,0.07,6.21,0.0,0.0,6.28 ,worldofwarcraft
138,139,driver,ps,1999,action,gt interactive,3.11,2.8,0.02,0.33,6.27 ,driver
139,140,kinect sports,x360,2010,sports,microsoft game studios,3.92,1.78,0.03,0.51,6.24 ,kinectsports
140,141,gears of war 3,x360,2011,shooter,microsoft game studios,4.05,1.62,0.07,0.49,6.24 ,gearsofwar3
141,142,gears of war,x360,2006,shooter,microsoft game studios,3.54,1.9,0.07,0.6,6.11 ,gearsofwar
142,143,metal gear solid 2: sons of liberty,ps2,2001,action,konami digital entertainment,2.45,2.01,0.87,0.72,6.05 ,metalgearsolid2 sonsofliberty
143,144,sonic the hedgehog 2,gen,1992,platform,sega,4.47,1.2,0.16,0.19,6.03 ,sonicthehedgehog2
144,145,metal gear solid 4: guns of the patriots,ps3,2008,action,konami digital entertainment,2.63,1.74,0.83,0.83,6.03 ,metalgearsolid4 gunsofthepatriots
145,146,metal gear solid,ps,1998,action,konami digital entertainment,3.18,1.83,0.78,0.24,6.03 ,metalgearsolid
146,147,the last of us,ps3,2013,action,sony computer entertainment europe,2.41,2.28,0.28,1.01,5.99 ,thelastofus
147,148,final fantasy xii,ps2,2006,role-playing,square enix,1.88,0.0,2.33,1.74,5.95 ,finalfantasyxii
148,149,littlebigplanet,ps3,2008,platform,sony computer entertainment,2.8,2.05,0.17,0.9,5.92 ,littlebigplanet
149,150,dragon quest ix: sentinels of the starry skies,ds,2009,role-playing,nintendo,0.66,0.69,4.35,0.15,5.84 ,dragonquestix sentinelsofthestarryskies
150,151,lego star wars: the complete saga,wii,2007,action,lucasarts,3.66,1.63,0.0,0.53,5.83 ,legostarwars thecompletesaga
151,152,resident evil 2,ps,1998,action,virgin interactive,1.88,1.47,2.02,0.45,5.82 ,residentevil2
152,153,tekken 2,ps,1996,fighting,sony computer entertainment,2.26,1.89,1.36,0.23,5.74 ,tekken2
153,154,cooking mama,ds,2006,simulation,505 games,3.13,1.94,0.07,0.58,5.72 ,cookingmama
154,155,destiny,ps4,2014,shooter,activision,2.49,2.05,0.16,0.96,5.65 ,destiny
155,156,tetris,nes,1988,puzzle,nintendo,2.97,0.69,1.81,0.11,5.58 ,tetris
156,157,assassin's creed ii,ps3,2009,action,ubisoft,2.54,1.95,0.21,0.87,5.57 ,assassin screedii
157,158,super smash bros.,n64,1999,fighting,nintendo,2.95,0.6,1.97,0.04,5.55 ,supersmashbros 
158,159,assassin's creed,x360,2007,adventure,ubisoft,3.28,1.65,0.07,0.55,5.55 ,assassin screed
159,160,batman: arkham city,ps3,2011,action,warner bros. interactive entertainment,2.7,1.91,0.11,0.8,5.53 ,batman arkhamcity
160,161,forza motorsport 3,x360,2009,racing,microsoft game studios,2.99,1.92,0.1,0.51,5.51 ,forzamotorsport3
161,162,monster hunter freedom unite,psp,2008,role-playing,capcom,0.47,0.57,4.13,0.34,5.5 ,monsterhunterfreedomunite
162,163,super mario advance,gba,2001,platform,nintendo,3.14,1.24,0.91,0.2,5.49 ,supermarioadvance
163,164,mario kart: super circuit,gba,2001,racing,nintendo,2.62,1.64,0.99,0.23,5.47 ,mariokart supercircuit
164,165,super mario world,gba,2001,platform,nintendo,3.21,1.11,0.95,0.2,5.46 ,supermarioworld
165,166,pokemon stadium,n64,1999,strategy,nintendo,3.18,1.24,0.94,0.09,5.45 ,pokemonstadium
166,167,call of duty: world at war,ps3,2008,shooter,activision,2.72,1.87,0.0,0.84,5.43 ,callofduty worldatwar
167,168,crash bandicoot: the wrath of cortex,ps2,2001,platform,universal interactive,2.07,2.29,0.24,0.82,5.42 ,crashbandicoot thewrathofcortex
168,169,minecraft,ps3,2014,misc,sony computer entertainment,1.97,2.51,0.0,0.94,5.42 ,minecraft
169,170,final fantasy xiii,ps3,2009,role-playing,square enix,1.74,1.24,1.87,0.52,5.36 ,finalfantasyxiii
170,171,dr. mario,gb,1989,puzzle,nintendo,2.18,0.96,2.0,0.2,5.34 ,dr mario
171,172,pokemon pinball,gb,1999,misc,nintendo,3.02,1.12,1.01,0.16,5.31 ,pokemonpinball
172,173,assassin's creed iii,x360,2012,action,ubisoft,3.13,1.71,0.03,0.44,5.3 ,assassin screediii
173,174,final fantasy ix,ps,2000,role-playing,squaresoft,1.62,0.77,2.78,0.14,5.3 ,finalfantasyix
174,175,final fantasy x-2,ps2,2003,role-playing,electronic arts,1.92,1.08,2.11,0.17,5.29 ,finalfantasyx 2
175,176,donkey kong 64,n64,1999,platform,nintendo,3.33,0.79,1.09,0.06,5.27 ,donkeykong64
176,177,assassin's creed ii,x360,2009,action,ubisoft,3.1,1.56,0.08,0.51,5.27 ,assassin screedii
177,178,professor layton and the curious village,ds,2007,puzzle,nintendo,1.22,2.48,1.03,0.52,5.26 ,professorlaytonandthecuriousvillage
178,179,tomb raider ii,ps,1997,action,eidos interactive,2.3,2.46,0.2,0.28,5.24 ,tombraiderii
180,181,dragon quest viii: journey of the cursed king,ps2,2004,role-playing,square enix,0.65,0.75,3.61,0.2,5.21 ,dragonquestviii journeyofthecursedking
181,182,diablo iii,pc,2012,role-playing,activision,2.43,2.15,0.0,0.62,5.2 ,diabloiii
182,183,super mario bros. 3,gba,2003,platform,nintendo,2.93,1.25,0.83,0.2,5.2 ,supermariobros 3
183,184,new super mario bros. u,wiiu,2012,platform,nintendo,2.32,1.3,1.27,0.31,5.19 ,newsupermariobros u
184,185,super mario land 3: wario land,gb,1994,platform,nintendo,2.49,0.98,1.57,0.15,5.19 ,supermarioland3 warioland
185,186,fifa soccer 13,x360,2012,action,electronic arts,1.08,3.48,0.03,0.58,5.18 ,fifasoccer13
186,187,the legend of zelda: phantom hourglass,ds,2007,action,nintendo,1.9,1.83,0.95,0.49,5.17 ,thelegendofzelda phantomhourglass
187,188,donkey kong country 2: diddy's kong quest,snes,1995,platform,nintendo,2.1,0.74,2.2,0.11,5.15 ,donkeykongcountry2 diddy skongquest
188,189,tomodachi life,3ds,2013,simulation,nintendo,0.96,2.02,1.89,0.28,5.15 ,tomodachilife
189,190,mario & sonic at the olympic games,ds,2008,sports,sega,1.64,2.48,0.44,0.58,5.14 ,mario sonicattheolympicgames
190,191,medal of honor: rising sun,ps2,2003,shooter,electronic arts,1.98,2.23,0.13,0.8,5.13 ,medalofhonor risingsun
191,192,kirby's dream land,gb,1992,platform,nintendo,2.71,0.61,1.7,0.11,5.13 ,kirby sdreamland
192,193,fable iii,x360,2010,role-playing,microsoft game studios,3.59,1.11,0.05,0.38,5.13 ,fableiii
193,194,call of duty: advanced warfare,xone,2014,shooter,activision,3.21,1.53,0.01,0.38,5.13 ,callofduty advancedwarfare
194,195,microsoft flight simulator,pc,1996,simulation,microsoft game studios,3.22,1.69,0.0,0.2,5.12 ,microsoftflightsimulator
195,196,guitar hero ii,ps2,2006,misc,redoctane,3.81,0.63,0.0,0.68,5.12 ,guitarheroii
196,197,resident evil 5,ps3,2009,action,capcom,1.96,1.43,1.08,0.65,5.11 ,residentevil5
197,198,grand theft auto v,xone,2014,action,take-two interactive,2.66,2.01,0.0,0.41,5.08 ,grandtheftautov
198,199,grand theft auto: vice city stories,psp,2006,action,take-two interactive,1.7,2.02,0.16,1.21,5.08 ,grandtheftauto vicecitystories
199,200,fifa soccer 11,ps3,2010,sports,electronic arts,0.6,3.29,0.06,1.13,5.08 ,fifasoccer11
200,201,super mario bros.,gb,1999,platform,nintendo,3.4,1.3,0.15,0.22,5.07 ,supermariobros 
201,202,resident evil,ps,1996,action,virgin interactive,2.05,1.16,1.11,0.73,5.05 ,residentevil
202,203,tony hawk's pro skater,ps,1999,sports,activision,3.42,1.38,0.02,0.2,5.02 ,tonyhawk sproskater
203,204,super smash bros. for wii u and 3ds,wiiu,2014,fighting,nintendo,2.59,1.06,0.8,0.57,5.02 ,supersmashbros forwiiuand3ds
204,205,warzone 2100,ps,1999,strategy,eidos interactive,2.79,1.89,0.0,0.33,5.01 ,warzone2100
205,206,spyro the dragon,ps,1998,platform,sony computer entertainment,3.36,1.36,0.07,0.21,5 ,spyrothedragon
206,207,link's crossbow training,wii,2007,shooter,nintendo,3.06,1.18,0.29,0.46,5 ,link scrossbowtraining
207,208,guitar hero iii: legends of rock,ps2,2007,misc,activision,3.49,0.01,0.01,1.48,4.98 ,guitarheroiii legendsofrock
208,209,fallout 3,x360,2008,role-playing,bethesda softworks,3.39,1.03,0.09,0.44,4.96 ,fallout3
209,210,pokemon mystery dungeon: explorers of time/explorers of darkness,ds,2007,role-playing,nintendo,1.85,1.2,1.54,0.37,4.96 ,pokemonmysterydungeon explorersoftime explorersofdarkness
210,211,uncharted: drake's fortune,ps3,2007,action,sony computer entertainment,2.31,1.73,0.12,0.78,4.94 ,uncharted drake sfortune
211,212,madden nfl 06,ps2,2005,sports,electronic arts,3.98,0.26,0.01,0.66,4.91 ,maddennfl06
212,213,lego star wars: the complete saga,ds,2007,action,lucasarts,2.89,1.54,0.0,0.46,4.9 ,legostarwars thecompletesaga
213,214,diddy kong racing,n64,1997,racing,nintendo,2.91,0.99,0.89,0.1,4.88 ,diddykongracing
214,215,monster hunter freedom 3,psp,2010,role-playing,capcom,0.0,0.0,4.87,0.0,4.87 ,monsterhunterfreedom3
215,216,dr. mario,nes,1990,puzzle,nintendo,2.62,0.6,1.52,0.1,4.85 ,dr mario
216,217,god of war iii,ps3,2010,action,sony computer entertainment,2.74,1.36,0.12,0.63,4.84 ,godofwariii
217,218,starcraft ii: wings of liberty,pc,2010,strategy,activision,2.56,1.68,0.0,0.59,4.83 ,starcraftii wingsofliberty
218,219,assassin's creed,ps3,2007,adventure,ubisoft,1.91,2.0,0.09,0.83,4.83 ,assassin screed
219,220,fifa 15,ps3,2014,sports,electronic arts,0.57,3.14,0.04,1.07,4.82 ,fifa15
220,221,crash team racing,ps,1999,racing,sony computer entertainment,2.57,1.57,0.44,0.21,4.79 ,crashteamracing
221,222,fifa 17,ps4,2016,sports,electronic arts,0.28,3.75,0.06,0.69,4.77 ,fifa17
222,223,batman: arkham city,x360,2011,action,warner bros. interactive entertainment,2.99,1.31,0.04,0.41,4.76 ,batman arkhamcity
223,224,driver 2,ps,2000,action,atari,2.36,2.1,0.02,0.25,4.73 ,driver2
224,225,the simpsons: hit & run,ps2,2003,racing,vivendi games,1.73,2.19,0.0,0.79,4.7 ,thesimpsons hit run
225,226,tony hawk's pro skater 2,ps,2000,sports,activision,3.05,1.41,0.02,0.2,4.68 ,tonyhawk sproskater2
226,227,animal crossing: city folk,wii,2008,simulation,nintendo,1.87,1.12,1.32,0.37,4.68 ,animalcrossing cityfolk
227,228,the lord of the rings: the two towers,ps2,2002,action,electronic arts,1.94,1.95,0.08,0.7,4.67 ,thelordoftherings thetwotowers
228,229,forza motorsport 4,x360,2011,racing,microsoft game studios,2.08,2.04,0.06,0.47,4.64 ,forzamotorsport4
229,230,tomb raider,ps,1996,action,eidos interactive,2.29,1.97,0.13,0.24,4.63 ,tombraider
230,231,guitar hero iii: legends of rock,wii,2007,misc,activision,3.06,1.12,0.0,0.44,4.62 ,guitarheroiii legendsofrock
